Rk,Player,Tm▲,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,Guaranteed,-9999
295,Miles McBride,NYK,$1563518,$1836096,,,,,$1563518,mcbrimi01
296,Jericho Sims,NYK,$1639842,$1927896,$2092344,,,,$2239842,simsje01
297,Quentin Grimes,NYK,$2277000,$2385720,$4296682,,,,$2277000,grimequ01
298,Immanuel Quickley,NYK,$2316240,$4171548,,,,,$2316240,quickim01
299,Obi Toppin,NYK,$5348280,$6803012,,,,,$5348280,toppiob01
300,Cam Reddish,NYK,$5954454,,,,,,$5954454,reddica01
301,Isaiah Hartenstein,NYK,$7804879,$8195121,,,,,$16000000,harteis01
302,RJ Barrett,NYK,$10900635,,,,,,$10900635,barrerj01
303,Derrick Rose,NYK,$14520730,$15596339,,,,,$14520730,rosede01
304,Mitchell Robinson,NYK,$17045454,$15681818,$14318182,$12954546,,,$60000000,robinmi01
305,Evan Fournier,NYK,$18000000,$18857143,$19000000,,,,$55857143,fournev01
306,Julius Randle,NYK,$23760000,$25660800,$27561600,$29462400,,,$76982400,randlju01
307,Jalen Brunson,NYK,$27733332,$26346666,$24960001,$24960001,,,$79039999,brunsja01
308,Kyle Singler,OKC,$999200,,,,,,$999200,singlky01
309,Aaron Wiggins,OKC,$1563518,$1836096,$1988598,,,,,wiggiaa01
310,Théo Maledon,OKC,$1900000,$1930681,,,,,,maledth01
311,Jeremiah Robinson-Earl,OKC,$2000000,$1900000,$1988598,,,,$2000000,robinje02
312,Kenrich Williams,OKC,$2000000,$6175000,$6669000,$7163000,$7163000,,$20007000,willike04
313,Tre Mann,OKC,$3046200,$3191400,$4908373,,,,$3046200,manntr01
314,Aleksej Pokusevski,OKC,$3261480,$5009633,,,,,$3261480,pokusal01
315,Mike Muscala,OKC,$3500000,$3500000,,,,,$3500000,muscami01
316,Ty Jerome,OKC,$4220057,,,,,,$4220057,jeromty01
317,Darius Bazley,OKC,$4264629,,,,,,$4264629,bazleda01
318,Jalen Williams,OKC,$4341480,$4558680,$4775760,$6580997,,,$8900160,willija06
319,Maurice Harkless,OKC,$4564980,,,,,,$4564980,harklma01
320,Ousmane Dieng,OKC,$4569840,$4798440,$5027040,$6670882,,,$9368280,diengou01
321,Josh Giddey,OKC,$6287400,$6587040,$8352367,,,,$6287400,giddejo01
322,JaMychal Green,OKC,$10036090,,,,,,$8200000,greenja01
323,Chet Holmgren,OKC,$9891240,$10386000,$10880640,$13731368,,,$20277240,holmgch01
324,Derrick Favors,OKC,$10183800,,,,,,$10183800,favorde01
325,Luguentz Dort,OKC,$15277778,$15277778,$16500000,$17722222,$17722222,,$64777778,dortlu01
326,Kemba Walker,OKC,$9165471,,,,,,$27431078,walkeke02
327,Shai Gilgeous-Alexander,OKC,$30913750,$33386850,$35859950,$38333050,$40806150,,$179299750,gilgesh01
328,Devin Cannady,ORL,$1752638,$1902137,,,,,,cannade01
329,Moritz Wagner,ORL,$1878720,,,,,,,wagnemo01
330,Caleb Houstan,ORL,$2000000,$2000000,$2019699,$2187699,,,$4000000,houstca01
331,Bol Bol,ORL,$2200000,$2200000,,,,,$2200000,bolbo01
332,R.J. Hampton,ORL,$2412840,$4220057,,,,,$2412840,hamptrj01
333,Chuma Okeke,ORL,$3433320,$5266713,,,,,$3433320,okekech01
334,Cole Anthony,ORL,$3613680,$5539771,,,,,$3613680,anthoco01
335,Franz Wagner,ORL,$5258280,$5508720,$7007092,,,,$5258280,wagnefr01
336,Jalen Suggs,ORL,$6922320,$7252080,$9188385,,,,$6922320,suggsja01
337,Mo Bamba,ORL,$10300000,$10300000,,,,,$10300000,bambamo01
338,Paolo Banchero,ORL,$11055120,$11608080,$12160800,$15334769,,,$22663200,banchpa01
339,Terrence Ross,ORL,$11500000,,,,,,$11500000,rosste01
340,Gary Harris,ORL,$13000000,$13000000,,,,,$13000000,harriga01
341,Wendell Carter Jr.,ORL,$14150000,$13050000,$11950000,$10850000,,,$50000000,cartewe01
342,Markelle Fultz,ORL,$16500000,$17000000,,,,,$18500000,fultzma01
343,Jonathan Isaac,ORL,$17400000,$17400000,$17400000,,,,$23400000,isaacjo01
344,Michael Foster Jr.,PHI,$1017781,,,,,,,fostemi02
345,Charles Bassey,PHI,$1563518,$1836096,,,,,$74742,bassech01
346,Trevelin Queen,PHI,$1637966,$1927896,,,,,$330000,queentr01
347,Paul Reed,PHI,$1782621,,,,,,,reedpa01
348,Isaiah Joe,PHI,$1782621,,,,,,,joeis01
349,Shake Milton,PHI,$1997718,,,,,,$1997718,miltosh01
350,Jaden Springer,PHI,$2125200,$2226240,$4018363,,,,$2125200,sprinja01
351,Tyrese Maxey,PHI,$2726880,$4343920,,,,,$2726880,maxeyty01
352,Georges Niang,PHI,$3465000,,,,,,$3465000,niangge01
353,Danuel House Jr.,PHI,$4105000,$4310250,,,,,$4105000,houseda01
354,Matisse Thybulle,PHI,$4379527,,,,,,$4379527,thybuma01
355,Furkan Korkmaz,PHI,$5000000,$5370370,,,,,$10370370,korkmfu01
356,De'Anthony Melton,PHI,$8250000,$8000000,,,,,$9750000,meltode01
357,P.J. Tucker,PHI,$10490000,$11014500,$11539000,,,,$21504500,tuckepj01
358,James Harden,PHI,$33000000,$35640000,,,,,$33000000,hardeja01
359,Joel Embiid,PHI,$33616770,$46550000,$50274000,$53998000,$57722000,,$184438770,embiijo01
360,Tobias Harris,PHI,$37633050,$39270150,,,,,$76903200,harrito02
361,Jock Landale,PHO,$1563518,,,,,,$46120,landajo01
362,Damion Lee,PHO,$1836090,,,,,,$1836090,leeda03
363,Josh Okogie,PHO,$1836090,,,,,,$1836090,okogijo01
364,Bismack Biyombo,PHO,$1836090,,,,,,$1836090,biyombi01
365,Torrey Craig,PHO,$5121951,,,,,,$5121951,craigto01
366,Cameron Johnson,PHO,$5887899,,,,,,$5887899,johnsca02
367,Cameron Payne,PHO,$6000000,$6500000,,,,,$8000000,payneca01
368,Dario Šarić,PHO,$9240000,,,,,,$9240000,saricda01
369,Landry Shamet,PHO,$9500000,$10250000,$11000000,$11750000,,,$42500000,shamela01
370,Jae Crowder,PHO,$10183800,,,,,,$10183800,crowdja01
371,Mikal Bridges,PHO,$20100000,$21700000,$23300000,$24900000,,,$90000000,bridgmi01
372,Chris Paul,PHO,$28400000,$30800000,$30000000,,,,$44200000,paulch01
373,Deandre Ayton,PHO,$30913750,$32459438,$34005126,$35550814,,,$132929128,aytonde01
374,Devin Booker,PHO,$33833400,$36016200,$48877500,$52787700,$56697900,$60608100,$288820800,bookede01
375,Didi Louzada,POR,$268032,$268032,$268032,$268032,$268032,$268032,$1876224,louzama01
376,Isaiah Miller,POR,$1017781,,,,,,,milleis01
